,Fecha,humedad_media,lluvia,temperatura_media,Mes,llovio
0,2025-01-01,73.0,0.0,6.43,2025-01,False
1,2025-01-02,75.0,0.0,11.06,2025-01,False
2,2025-01-03,95.0,27.3,12.0,2025-01,True
3,2025-01-04,85.0,12.8,12.71,2025-01,True
4,2025-01-05,92.0,46.8,12.69,2025-01,True
5,2025-01-06,91.0,5.7,7.97,2025-01,True
6,2025-01-07,95.0,35.4,11.4,2025-01,True
7,2025-01-08,89.0,62.1,13.14,2025-01,True
8,2025-01-09,91.0,4.8,13.38,2025-01,True
9,2025-01-10,97.0,21.9,13.96,2025-01,True
10,2025-01-11,95.0,1.9,13.76,2025-01,True
11,2025-01-12,82.0,0.0,10.48,2025-01,False
12,2025-01-13,76.0,0.0,7.31,2025-01,False
13,2025-01-14,72.0,0.0,6.79,2025-01,False
14,2025-01-15,84.0,0.0,5.85,2025-01,False
15,2025-01-16,76.0,0.0,7.5,2025-01,False
16,2025-01-17,67.0,0.0,7.93,2025-01,False
17,2025-01-18,73.0,0.0,6.37,2025-01,False
18,2025-01-19,87.0,14.6,7.89,2025-01,True
19,2025-01-20,93.0,6.6,10.57,2025-01,True
20,2025-01-21,89.0,10.6,13.16,2025-01,True
21,2025-01-22,94.0,29.4,10.85,2025-01,True
22,2025-01-23,78.0,0.0,9.3,2025-01,False
23,2025-01-24,87.0,45.2,11.35,2025-01,True
24,2025-01-25,84.0,8.8,10.12,2025-01,True
25,2025-01-26,92.0,98.5,12.63,2025-01,True
26,2025-01-27,82.0,23.0,8.6,2025-01,True
27,2025-01-28,81.0,10.5,8.89,2025-01,True
28,2025-01-29,88.0,47.5,8.53,2025-01,True
29,2025-01-30,73.0,0.6,8.24,2025-01,True
30,2025-01-31,83.0,0.0,7.94,2025-01,False
31,2025-02-01,97.0,1.3,10.62,2025-02,True
32,2025-02-02,80.0,2.1,9.12,2025-02,True
33,2025-02-03,84.0,0.0,7.68,2025-02,False
34,2025-02-04,84.0,0.0,7.91,2025-02,False
35,2025-02-05,77.0,0.0,9.75,2025-02,False
36,2025-02-06,80.0,1.0,8.64,2025-02,True
37,2025-02-07,90.0,8.1,8.36,2025-02,True
38,2025-02-08,92.0,1.1,4.35,2025-02,True
39,2025-02-09,97.0,12.0,12.23,2025-02,True
40,2025-02-10,93.0,5.0,12.25,2025-02,True
41,2025-02-11,93.0,14.9,9.93,2025-02,True
42,2025-02-12,94.0,1.3,9.61,2025-02,True
43,2025-02-13,92.0,7.5,12.09,2025-02,True
44,2025-02-14,77.0,0.0,12.44,2025-02,False
45,2025-02-15,75.0,0.0,12.69,2025-02,False
46,2025-02-16,84.0,6.2,11.2,2025-02,True
47,2025-02-17,79.0,0.0,9.38,2025-02,False
48,2025-02-18,73.0,0.0,12.72,2025-02,False
49,2025-02-19,90.0,0.3,12.26,2025-02,True
50,2025-02-20,87.0,0.6,12.7,2025-02,True
51,2025-02-21,86.0,27.0,12.06,2025-02,True
52,2025-02-22,88.0,3.2,9.61,2025-02,True
53,2025-02-23,81.0,0.0,10.21,2025-02,False
54,2025-02-24,95.0,48.2,12.11,2025-02,True
55,2025-02-25,82.0,0.0,9.6,2025-02,False
56,2025-02-26,80.0,0.0,7.78,2025-02,False
57,2025-02-27,74.0,0.0,10.1,2025-02,False
58,2025-02-28,70.0,0.0,11.31,2025-02,False
59,2025-03-01,59.0,0.0,9.17,2025-03,False
60,2025-03-02,61.0,0.0,7.89,2025-03,False
61,2025-03-03,67.0,0.0,10.38,2025-03,False
62,2025-03-04,75.0,0.0,11.96,2025-03,False
63,2025-03-05,88.0,3.7,11.14,2025-03,True
64,2025-03-06,93.0,7.9,11.21,2025-03,True
65,2025-03-07,80.0,8.7,11.49,2025-03,True
66,2025-03-08,82.0,11.6,8.84,2025-03,True
67,2025-03-09,81.0,11.1,9.22,2025-03,True
68,2025-03-10,84.0,10.8,8.65,2025-03,True
69,2025-03-11,79.0,0.0,10.39,2025-03,False
70,2025-03-12,87.0,0.0,8.34,2025-03,False
71,2025-03-13,73.0,0.0,8.12,2025-03,False
72,2025-03-14,70.0,0.0,6.88,2025-03,False
73,2025-03-15,64.0,0.0,8.08,2025-03,False
74,2025-03-16,62.0,0.0,7.29,2025-03,False
75,2025-03-17,66.0,0.0,9.02,2025-03,False
76,2025-03-18,77.0,0.6,11.09,2025-03,True
77,2025-03-19,60.0,0.0,14.6,2025-03,False
78,2025-03-20,61.0,2.2,13.64,2025-03,True
79,2025-03-21,95.0,36.3,9.99,2025-03,True
80,2025-03-22,90.0,17.6,7.99,2025-03,True
81,2025-03-23,88.0,1.5,6.8,2025-03,True
82,2025-03-24,89.0,1.0,9.3,2025-03,True
83,2025-03-25,80.0,0.0,11.32,2025-03,False
84,2025-03-26,78.0,0.0,10.62,2025-03,False
85,2025-03-27,75.0,0.0,11.34,2025-03,False
86,2025-03-28,78.0,0.0,10.72,2025-03,False
87,2025-03-29,73.0,0.0,11.74,2025-03,False
88,2025-03-30,58.0,0.0,14.04,2025-03,False
89,2025-03-31,53.0,0.0,17.21,2025-03,False
90,2025-04-01,71.0,0.0,14.28,2025-04,False
